id,question,doc_ids
27,please provide nla-2014 guidelines,LIPID-PROFILE-test-report-format-example-sample-template-Drlogy-lab-report.pdf
28,what can be used to assess risk of development on hepatocllura carcinoma ?,LIVER-PROFILE-LFT-test-report-format-example-sample-template-Drlogy-lab-report (1).pdf
29,what are ast and sgot result of yash patel ?,LIVER-PROFILE-LFT-test-report-format-example-sample-template-Drlogy-lab-report.pdf
30,how do we encourage  reporting of suspected wrongdoing,OnMobile_Whistle_Blower_Policy Final 16Apr24.pdf
31,please provide variable pay structure for sales and PMs,Performance Linked Incentive Policy (Variable Pay) - 2023-24.pdf
32,what is notice period of confirmed employees in africa and LATAM,Separation Policy.pdf
33,"what is toxoplasma, what are its ideal range ?",Torch-profile-test-report-format-example-sample-template-Drlogy-lab-report.pdf
34,what electrolytes low level can cause ?,Electrolytes-test-report-format-example-sample-template-Drlogy-lab-report
35,can Company  monitor and  record employees's use of office equipment ?,Employee Privacy Policy.pdf
36,The�staffing�policy�of�the�organization�is�founded�on�what principles ?,Staffing Policy.pdf
37,can thryoglobulin antibodies be detected in a person without any significant thyroid disease ?,THYROID-ANTIBODIES-test-report-format-example-sample-template-Drlogy-lab-report.pdf
38,what is t3 value for  yash patel report,THYROID-PROFILE-test-report-format-example-sample-template-Drlogy-lab-report.pdf
39,What are the  objectives for Domestic Market Promotion scheme?,Total Book - MSME - Grand Final - 07_10_2024.pdf
40,How is Gen AI useful in educational domain?,Understanding Student and Academic Staff Perceptions of AI Use in Assessment and Feedback.docx
41,Should the Law Treat GenAI Differently?,Time to Generate New Approaches.docx
42,How is GenAI useful in strategic Demand-Planning in Wireless Networks?,Strategic Demand-Planning in Wireless Networks Can Generative-AI Save Spectrum and Energy.docx
43,What are the highlights in the first quarter of FY 2025 for Siemens?,siemens-company-presentation.pdf
44,What are the objectives for National SC-ST Hub Scheme?,Scheme-booklet-Eng.pdf
45,What are MSME schemes under ministry of tourism?,MSME_Schemes_English_0.pdf
46,What are the benefits of ICICI Pru Linked Accidental Death and Disability Rider insurance plan?,IPruLinked-Accidenal-Death-and-Disability-Rider-Brochure.pdf
47,What are the eligibilty conditions for ICICI Pru POS - iProtect Smart insurance plan?,IPru-POS-iProtect-Smart-Brochure-MU-V04_Final.pdf
48,Expalin benefits under ICICI Pru Non-Linked Accidental Death and Disability Rider insurance plan.,IPru-Non-Linked-Accidental-Death-and-Disability-Rider.pdf
49,What are the surgical care benefits under ICICI Pru Wish?,ICICI-Pru-Wish-Brochure.pdf
50,What happens if you stop paying your premiums in ICICI Pru Gold?,ICICI-Pru-Gold-Brochure.pdf
51,Which are the investment funds available under ICICI Pru1 Wealth?,ICICI_Pru1_Wealth_Brochure.pdf
52,What are the key features of ICICI Pru Sukh Samruddhi policy?,ICICI_Pru_Sukh_Samruddhi_Brochure.pdf
53,What makes ICICI Pru Smart Goal Assure special?,ICICI_Pru_Smart_Goal_Assure_Brochure.pdf
54,Explain partial withdrawal feature in ICICI Pru Signature Pension.,ICICI_Pru_Signature_Pension_Brochure.pdf
55,what are the benefits of ICICI Pru Singature Offline Brochre,ICICI_Pru_Signature_Offline_Brochure.pdf
56,What makes ICICI Pru Signature Assure special?,ICICI_Pru_Signature_Assure_Brochure.pdf
57,what are the ICICI Pru Savings Suraksha � Key Benefits?,ICICI_Pru_Savings_Suraksha_brochure_MU.pdf
58,what are the Salient features of ICICI pru Saral Pension Brochure?,ICICI_Pru_Saral_Pension_Brochure.pdf
59,What are the key feature and benefits of ICICI Pru Saeal Jeevan Bima Brochure?,ICICI_Pru_Saral_Jeevan_Bima_Brochure.pdf
60,What are the Flexibilities available under ICICI Pru Protect N Gain?,ICICI_Pru_Protect_N_Gain_Brochure.pdf
61,What makes ICICI Pru Platinum special?,ICICI_Pru_Platinum_Brochure.pdf
62,what are the Salient features that make ICICI Pru Non-Linked Waiver of Premium Ridersuitable?,ICICI_Pru_Non_Linked_WoP_Rider_Brochure.pdf
63,What are the benefits of ICICI Pru Linked WoP Rider Brochure?,ICICI_Pru_Linked_WoP_Rider_Brochure.pdf
64,what are the salient features that make ICICI Pru iprotect?,ICICI_Pru_iProtect_Super_Brochure.pdf
65,what are ICICI Pru Iprotect Smart Return of premium brochure Plan options in detail?,ICICI_Pru_iProtect_Smart_Return_of_Premium_Brochure.pdf
66,What is ICICI Pru Guaranteed Income For Tomorrow?,ICICI_Pru_Guaranteed_Income_For_Tomorrow.pdf
67,How does the ICICI pru group suraksha plus policy work?,ICICI_Pru_Group_Suraksha_Plus.pdf
68,what are the Salient features that make ICICI Pru Gold Pension Savings suitable for you,ICICI_Pru_Gold_Pension_Savings_Brochure.pdf
69,What are the key features of ICICI_Pru_GIFT_Select_Brochure,ICICI_Pru_GIFT_Select_Brochure.pdf
70,What are the death benefits of ICICI_Pru_GIFT_Pro_Brochure?,ICICI_Pru_GIFT_Pro_Brochure.pdf
71,What makes ICICI Pru Guaranteed Income For Tomorrow (Long-term) suitable for you?,ICICI_Pru_GIFT_Long_Term_Brochure.pdf
72,What makes ICICI Pru EzyGrow special,ICICI_Pru_EzyGrow_Brochure.pdf
73,what are the key benefits of ICICI_Pru_Assured_Savings_Insurance_Plan?,ICICI_Pru_Assured_Savings_Insurance_Plan.pdf
74,what are the benefits of ICICI_IPru_iProtect_Smart?,ICICI_IPru_iProtect_Smart.pdf
75,what are ICICI Pru Future Perfect at a glance?,ICICI Future Perfect - Brochure.pdf
76,what is the key component of the investment track of our ONE Tech Company program,HQCOPR202503277142EN.pdf
77,"what is said by Roland Busch, President and CEO of Siemens AG at press confress",HQCOPR202502177103EN.pdf
78,when does the Siemens AG Supervisory Board extends contract of Matthias Rebellius?,HQCOPR202411137043EN.pdf
79,What are harms of off-label promotion by GenAI?,Guardrails for avoiding harmful medical product recommendations.docx
80,what are methodology evaluation frameworks?,Generative AI Adoption in Classroom in Context of Technology Acceptance Model (TAM) and the Innovation.docx
81,What is the traditional approach for duplicate detection with GenAI?,Duplicate Detection with GenAI[1].docx
82,Explain Powerful text-to-video (T2V) generative models.,Building Automatic Metrics to Simulate Fine-grained Human Feedback for Video Generation[1].pdf
83,What are the priorities of FY2023-24 budget?,budget_speech (1).pdf
84,What are the challenges with Big Data?,BigData.pdf
85,How did Databricks Data Team Built a Lakehouse Across Three Clouds and 50+ Regions?,Big-Book-of-Data-Engineering-Final.docx
86,How was Spark�s performance in FY23?,Annual_Report_(2023)_highlighted.pdf
87,Explain Composition and Structure of Qiskit HumanEval dataset.,An Evaluation Benchmark For Quantum Code Generative Models.docx
88,Explain the Exploitation of GenAI capabilities.,A Taxonomy of Tactics and Insights from Real-World Data.docx
89,Which animal does Ben find hiding in the toy box during the game of hide and seek?,001-HIDE-AND-SEEK-Free-Childrens-Book-By-Monkey-Pen.pdf
90,How did Ginger the Giraffe help save the animals from the approaching fire on the savannah?,002-GINGER-THE-GIRAFFE-Free-Childrens-Book-By-Monkey-Pen.pdf
91,What special responsibility did Abe take on the day after BJ started training with a new Service Dog?,004-ABE-THE-SERVICE-DOG-Free-Childrens-Book-By-Monkey-Pen.pdf
92,How did Hank the hedgehog save his classmates from the hungry snake during the trip to Shadow Woods?,005-SUNNY-MEADOWS-WOODLAND-SCHOOL-Free-Childrens-Book-By-Monkey-Pen.pdf
93,"What solution did the three tooth fairies come up with to improve the condition of the children's milk teeth, and how was it implemented?",006-TOOTH-FAIRY-Free-Childrens-Book-By-Monkey-Pen.pdf
94,"What special feature do Hammy and his family use to carry food back home, and how is it described in the story?",007-HAMMY-THE-HAMSTER-Free-Childrens-Book-By-Monkey-Pen.pdf
95,"Why did Sophia Sue Simmons stop smiling, and how did Detective Peterson help bring her smile back?",008-THE-CASE-OF-THE-MISSING-SMILE.pdf
96,"What were the five reasons Jamal gave for not wanting to do his homework, and how did his school respond to them?",009-HOMEWORK-YUCK-Free-Childrens-Book-By-Monkey-Pen.pdf
97,"Which starter Pok�mon choice led to exploitative behavior where the agent would battle wild Zubats in Mt. Moon, using a specific move to restore health while the opponent healed with Leech Life, resulting in nearly endless battles for frequent heal rewards?",2502.19920v2.pdf
98,"According to the measurements performed at SLTF at 2.3 keV, what was compared to evaluate whether the MMA has an effect on spurious modulation, and what was the conclusion about these measurements based on their statistical relationship?",2505.00851v1.pdf
99,"What are the names of the two distinct architecture types demonstrated in this work for 3D object detection, and what are their respective BEV AP@70 scores on the 'hard' split of the KITTI dataset?",2505.02845v1.pdf
100,"According to the pairwise Wilcoxon rank sum tests performed in the study, which prompt engineering strategies showed statistically significant differences in similarity scores when compared to the baseline, and which one did not?",2505.03338v1.pdf
101,"Which ASR model consistently performed better on the NMCPC dataset according to the fairness analysis, and which model was more suitable for the AIISH dataset due to its better performance on child speech?",2505.03697v1.pdf
102,"According to Theorem A in the paper, what is the value of T0 in the tower of spectra for the unitary functor V ? ??+ Hol?(X, P(Cn+1 ? V))?",2505.03731v1.pdf
103,"What algorithm was the only one that consistently converged to near-zero loss with low variance in the decentralized training of a GPT model on the Multi30k dataset, and what were its average final loss levels on the three different topologies?",2505.03736v1.pdf
104,What is the approximate speedup achieved by VITA-Audio-Turbo compared to VITA-Audio-Vanilla across different model sizes?,2505.03739v1.pdf
105,What did the dog's mother tell her was a Presbyterian?,A_Dog's_Tale-Mark_Twain.pdf
106,"What was the total amount of the Company's cash, cash equivalents and unrestricted marketable securities as of September 30, 2023?",AAPL.10K.2023.pdf
107,"According to the text, what analogy is used to illustrate primary memory involving a billboard?","Accelerated Learning, Memory Improvement, Studying, Learning Techniques, Brain Training Learning_ Exact Blueprint on How to Learn Faster and Remember Anything_ Memory, Study Skills & How to Learn ( PDFD.pdf"
108,What percentage of respondents in Accenture's 2023 Technology Vision said that advances in generative AI signify a new era of enterprise intelligence?,Accenture-Generative-AI-Sourcing-and-Procurement.pdf
109,"What is one of the identified loopholes in the contract related to the definition of ""Confidential Information""?",loopholes.docx
110,"According to the Indian Penal Code, can a citizen of India be tried in India for committing a murder in Uganda?",INDIAN PENAL CODE.pdf
111,What object did Rin use to retrieve Jin�s pen from under the bed?,Magnet Magic!.pdf
112,What was the reason given by South Wales Police for grading Ms Michael�s emergency call as a �G2� instead of a �G1�?,michael case.pdf
113,What clause is suggested to handle situations where the agreement cannot be performed due to natural disasters or war?,nda_suggestions.docx
114,What remedy does AgentAnalytics have if damages are not sufficient for a breach of the NDA by the Contracting Party?,nda.docx
115,What was the Court of Appeal�s ruling regarding the standard of care owed by a learner driver to their instructor in Nettleship v. Weston?,nettleship v weston.pdf
116,Why are Christian groups criticizing the organisers of the Paris Olympics?,news 1.docx
117,What was the Supreme Court�s decision regarding the continued operation of Pahwa Plastics� units pending the grant of environmental clearance?,pahwa plastics case.pdf
118,What are the conditions under which a vessel�s classification may be suspended according to ABS Rules?,Part_1_Rules_for_Classification_of_Marin.pdf
119,"What is the name, dosage, and frequency of the medications prescribed to Mr. Bimal Anand in the prescription dated 28 Oct 2022?",Prescription_2022-10-28_John.pdf
120,"What are the names, strengths, and frequencies of the medications prescribed to Mr. Bimal Anand in the prescription dated 30 Mar 2024?",Prescription_2024-03-30_John.pdf
121,"Who were the judges involved in the case of Robinson v Chief Constable of West Yorkshire Police, and on what date was the judgment delivered?",robinson.pdf
122,"What are the grounds for divorce mentioned in Section 13 of The Hindu Marriage Act, 1955?",Section_13_in_The_Hindu_Marriage_Act_1955.PDF
123,"What are the types of punishments mentioned in The Bharatiya Nyaya Sanhita, 2023?",THE BHARATIYA NYAYA SANHITA.pdf
124,"Where did Jesus go for forty days after his baptism by John the Baptist, and what did he do there?",The-JC-Team-Vol.pdf
125,What did the charwoman call Gregor when she would open his door in the morning and evening?,the-metamorphosis-franz-kafka.pdf
126,"Based on the text provided, I'll create a straightforward question that can only be answered using information from this content:",TheShortStory_10001379.pdf
127,"According to KPMG's internal simulations mentioned in the document, what percentage of time savings can generative AI lead to in some procurement use cases?",unleashing-power-gen-ai-in-procurement.pdf
